"module","vascular_hits","caa_hits","ad_hits_pos","ad_hits_neg","label_auto"
"MEgrey60",0,0,0,0,"none"
"MEpink",0,0,0,0,"none"
"MEmagenta",0,0,0,0,"none"
"MEroyalblue",0,0,0,0,"none"
"MEsalmon",0,0,0,0,"none"
"MEred",3,0,0,0,"vascular"
"MElightgreen",2,0,2,0,"vascular"
"MEgreen",1,0,0,0,"none"
"MEblack",4,0,2,0,"vascular"
"MElightyellow",4,1,2,0,"CAA"
"MEdarkred",1,0,0,2,"protective_healthy"
"MEpurple",1,0,0,0,"none"
"MEblue",0,0,0,0,"none"
"MEcyan",0,0,0,0,"none"
"MEgreenyellow",0,0,0,0,"none"
"MEbrown",0,0,0,0,"none"
"MElightcyan",0,0,0,0,"none"
"MEyellow",0,0,0,0,"none"
"MEgrey",0,0,0,0,"none"
